sample no,fname,ix,iy,totalint,totalcoll,region,center,rho_new,Dnew2,wa2,wdist2,Diameter2,Group,Sample,State,zone
599112,39_2.txt,2,39,0.050818,0.013711,dz,83.004969,6.133405,66.969287,0.002167,0.422101,31.534646,untreated,control,unloaded,AC
599112,39_3.txt,3,39,0.046599,0.013815,dz,82.603677,6.19823,66.930483,0.002062,0.405303,32.82513,untreated,control,unloaded,AC
599112,39_4.txt,4,39,0.047425,0.013706,dz,81.864791,5.95125,66.853218,0.002305,0.402965,35.552658,untreated,control,unloaded,AC
599112,39_5.txt,5,39,0.047511,0.014645,dz,82.215702,6.390203,66.931325,0.002087,0.343357,33.660261,untreated,control,unloaded,AC
599112,39_6.txt,6,39,0.048477,0.014393,dz,82.294318,6.087216,66.896274,0.002083,0.377635,34.427958,untreated,control,unloaded,AC
599112,39_7.txt,7,39,0.059495,0.014302,dz,82.105631,6.077013,66.933786,0.002149,0.523159,34.796587,untreated,control,unloaded,AC
599112,39_8.txt,8,39,0.049548,0.013605,dz,82.357534,5.877719,66.955248,0.00207,0.523159,33.031361,untreated,control,unloaded,AC
599112,39_9.txt,9,39,0.050314,0.013993,dz,83.304509,6.177145,66.856792,0.002361,0.352407,36.158114,untreated,control,unloaded,AC
599112,40_0.txt,0,40,0.049355,0.014447,dz,81.545146,6.357577,66.941916,0.002126,0.330269,34.206396,untreated,control,unloaded,AC
599112,40_1.txt,1,40,0.045633,0.014168,dz,82.098949,6.35168,66.935473,0.001969,0.308366,32.717116,untreated,control,unloaded,AC
599112,40_10.txt,10,40,0.048666,0.015503,dz,82.939292,6.557829,66.971393,0.002101,0.282607,32.883879,untreated,control,unloaded,AC
599112,40_11.txt,11,40,0.049601,0.015913,dz,82.689254,6.34496,66.933975,0.002113,0.311537,33.278559,untreated,control,unloaded,AC
599112,40_12.txt,12,40,0.049663,0.016599,dz,82.882981,6.70615,66.969044,0.002036,0.281533,33.273098,untreated,control,unloaded,AC
599112,40_2.txt,2,40,0.046719,0.014409,dz,81.893607,6.106787,66.903229,0.0022,0.328209,34.071587,untreated,control,unloaded,AC
599112,40_3.txt,3,40,0.047217,0.014915,dz,81.027128,6.316525,66.943378,0.00212,0.306194,33.894184,untreated,control,unloaded,AC
599112,40_4.txt,4,40,0.047336,0.014641,dz,82.566534,6.269465,66.923221,0.002307,0.307803,34.190143,untreated,control,unloaded,AC
599112,40_5.txt,5,40,0.048441,0.014824,dz,82.63111,6.146435,66.898979,0.002053,0.326994,35.489556,untreated,control,unloaded,AC
599112,40_6.txt,6,40,0.053597,0.015983,dz,82.840334,6.323889,66.926161,0.002077,0.3216,34.427251,untreated,control,unloaded,AC
599112,40_7.txt,7,40,0.049111,0.014311,dz,83.473232,6.019554,66.957442,0.00212,0.343136,34.435894,untreated,control,unloaded,AC
599112,40_8.txt,8,40,0.056752,0.014339,dz,83.208847,6.448334,66.945867,0.002128,0.292979,32.576943,untreated,control,unloaded,AC
599112,40_9.txt,9,40,0.051068,0.014802,dz,82.859053,6.249248,66.964538,0.002166,0.330301,33.062602,untreated,control,unloaded,AC
599112,41_0.txt,0,41,0.047718,0.015291,dz,81.888454,6.471114,66.942395,0.002117,0.291201,34.84345,untreated,control,unloaded,AC
599112,41_1.txt,1,41,0.047662,0.015608,dz,82.466933,6.508826,66.930819,0.002175,0.270527,34.985179,untreated,control,unloaded,AC
599112,41_10.txt,10,41,0.049663,0.016639,dz,83.237867,6.295922,66.970131,0.002102,0.288471,34.742423,untreated,control,unloaded,AC
599112,41_11.txt,11,41,0.050517,0.01772,dz,83.037399,6.629545,67.002844,0.002047,0.270527,32.600067,untreated,control,unloaded,AC
599112,41_12.txt,12,41,0.050614,0.018061,dz,83.543215,6.590866,67.000412,0.00222,0.27979,33.490542,untreated,control,unloaded,AC
599112,41_2.txt,2,41,0.047446,0.016067,dz,81.721994,6.666595,66.995006,0.002133,0.270527,34.200033,untreated,control,unloaded,AC
599112,41_3.txt,3,41,0.048544,0.016527,dz,81.738526,6.653055,66.97065,0.002068,0.270527,34.726843,untreated,control,unloaded,AC
599112,41_4.txt,4,41,0.049157,0.016982,dz,81.999386,6.344971,66.947876,0.002056,0.301934,34.731827,untreated,control,unloaded,AC
599112,41_5.txt,5,41,0.048988,0.016756,dz,82.292039,6.647384,66.922753,0.002078,0.276028,34.55669,untreated,control,unloaded,AC
599112,41_6.txt,6,41,0.05214,0.016697,dz,82.969465,6.321916,66.931852,0.002265,0.287113,34.850773,untreated,control,unloaded,AC
599112,41_7.txt,7,41,0.05023,0.017092,dz,82.861603,6.264376,67.011424,0.002054,0.321053,33.609564,untreated,control,unloaded,AC
